               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10591,            0.022844,            0.050304,           0.0013041,             0.16838,            0.029035,           0.0085093,            0.098433,            0.011457,            0.036554,              0.0706,           0.0032667,           0.0032667
                   1,            0.081804,            0.022047,            0.035778,             0.39657,             0.12684,             0.05736,              0.0174,            0.083963,            0.012805,            0.031705,             0.04058,           0.0065802,           0.0065802
                   2,            0.074961,            0.020972,            0.032368,             0.77003,            0.046611,            0.018138,           0.0042815,             0.08758,            0.016189,             0.03567,             0.01054,           0.0098737,           0.0098737
                   3,            0.070093,            0.020628,            0.030599,             0.68688,             0.10981,            0.075451,            0.020709,            0.086129,            0.012137,            0.031393,             0.00991,             0.00991,             0.00991
                   4,            0.067329,            0.019542,             0.02787,             0.70154,             0.13226,            0.051056,            0.017262,            0.085963,            0.014867,            0.035719,             0.00991,             0.00991,             0.00991
                   5,            0.064524,            0.019313,            0.025678,             0.53386,            0.081904,            0.049769,            0.016384,            0.081905,            0.012738,            0.032114,             0.00988,             0.00988,             0.00988
                   6,            0.063011,            0.018596,            0.022047,             0.43225,             0.10261,            0.070156,            0.021764,            0.085929,            0.014332,             0.03414,             0.00985,             0.00985,             0.00985
                   7,            0.060039,            0.018758,            0.020028,             0.39904,            0.070259,            0.056985,            0.024695,            0.078074,            0.013341,             0.03544,             0.00982,             0.00982,             0.00982
                   8,             0.05921,            0.018393,            0.018189,             0.47724,            0.084006,            0.067505,             0.03444,            0.079477,            0.012708,            0.039504,             0.00979,             0.00979,             0.00979
                   9,              0.0582,            0.017514,            0.016658,             0.47117,            0.080784,             0.05041,            0.019034,             0.07987,            0.012671,            0.036144,             0.00976,             0.00976,             0.00976
                  10,            0.057244,            0.017437,            0.014901,             0.33413,             0.15141,             0.16243,             0.03549,            0.081276,            0.011779,            0.039148,             0.00973,             0.00973,             0.00973
                  11,            0.056292,            0.016984,            0.013604,             0.48535,             0.10206,             0.13189,             0.02821,            0.081841,             0.01265,            0.037856,              0.0097,              0.0097,              0.0097
                  12,            0.054995,            0.017106,            0.012984,             0.40359,            0.093138,             0.10292,             0.04066,            0.079566,            0.012602,            0.042964,             0.00967,             0.00967,             0.00967
                  13,             0.05401,            0.017094,            0.012536,             0.35157,            0.096918,            0.090515,            0.036785,            0.077818,            0.012802,            0.035497,             0.00964,             0.00964,             0.00964
                  14,            0.053459,            0.016516,             0.01146,             0.53797,            0.061684,            0.086681,            0.028816,            0.077926,            0.013004,            0.037317,             0.00961,             0.00961,             0.00961
                  15,            0.052482,            0.016425,            0.010612,             0.66532,            0.073704,            0.061372,            0.024289,               0.082,            0.013309,            0.044135,             0.00958,             0.00958,             0.00958
                  16,            0.052668,            0.015794,           0.0094569,             0.47243,             0.10645,             0.13099,            0.040041,            0.083034,            0.012913,            0.044035,             0.00955,             0.00955,             0.00955
                  17,            0.050968,            0.015812,            0.008588,             0.28789,             0.21495,             0.13039,            0.041043,            0.080637,            0.013088,            0.040361,             0.00952,             0.00952,             0.00952
                  18,            0.050422,            0.015144,           0.0086952,             0.50994,             0.09268,            0.092309,            0.029879,            0.082439,            0.012639,            0.040601,             0.00949,             0.00949,             0.00949
                  19,            0.050798,            0.014656,           0.0089046,             0.13214,             0.20914,             0.11164,            0.039856,            0.078999,            0.012493,            0.042196,             0.00946,             0.00946,             0.00946
                  20,             0.04907,            0.015202,           0.0074338,             0.45411,             0.14647,             0.13586,            0.042439,            0.079803,            0.012361,            0.039608,             0.00943,             0.00943,             0.00943
                  21,            0.048718,            0.015275,           0.0071596,              0.3385,             0.16274,              0.1347,            0.042938,            0.079074,            0.013044,            0.038174,              0.0094,              0.0094,              0.0094
                  22,            0.047562,            0.014322,           0.0076877,             0.34325,             0.11897,            0.069318,            0.019536,            0.079562,            0.013548,            0.038125,             0.00937,             0.00937,             0.00937
                  23,            0.047024,            0.014788,           0.0070034,             0.43321,             0.14136,             0.10509,            0.042159,            0.080173,            0.012795,             0.04398,             0.00934,             0.00934,             0.00934
                  24,            0.047006,             0.01425,           0.0065884,             0.33538,              0.1877,             0.16692,             0.06835,            0.074174,            0.012886,            0.038739,             0.00931,             0.00931,             0.00931
